  162 1936  jun    10    19.1    67.2     4.3     1.6    -4.0   925.1      .0
  163 1936  jun    11    18.4    78.3     3.3    -2.3     2.3   928.2      .0
  164 1936  jun    12    15.7    95.0     5.3    -3.7     3.7   933.7      .1
  165 1936  jun    13    15.7    89.6     4.5    -3.2     3.2   935.4      .0
  166 1936  jun    14    15.2    86.8     3.8    -2.7     2.7   933.9      .0
  167 1936  jun    15    14.3    87.7     3.0    -2.8    -1.1   932.3      .2
  168 1936  jun    16    15.8    87.1     2.6    -2.4    -1.0   932.5      .0
  169 1936  jun    17    16.4    88.1     1.7    -1.2    -1.2   931.2      .1
  170 1936  jun    18    17.0    87.5     1.2      .0     1.2   930.3      .1
  171 1936  jun    19    17.7    86.3     2.3    -1.6    -1.6   930.2      .3
  172 1936  jun    20    16.5    84.5     3.3    -2.3     2.3   931.6      .0
  173 1936  jun    21    15.5    87.3     3.8    -2.7     2.7   932.5      .3
  174 1936  jun    22    16.9    84.2     3.3    -3.1    -1.3   932.9      .0
  175 1936  jun    23    17.2    83.1     2.4    -1.7    -1.7   931.7      .0
  176 1936  jun    24    17.0    80.4     1.4    -1.3      .6   930.0      .0
  177 1936  jun    25    17.3    75.6     2.4      .0    -2.4   929.2      .2
  178 1936  jun    26    16.0    93.0     3.3      .0     3.3   933.2      .1
  179 1936  jun    27    14.0    95.7     5.1    -3.6     3.6   936.7      .6
  180 1936  jun    28    13.3    89.7     4.7    -3.3     3.3   936.7      .0
  181 1936  jun    29    14.9    85.5     2.5    -2.3    -1.0   934.4      .1
  182 1936  jun    30    14.7    84.2     1.6    -1.1     1.1   933.3      .3
  183 1936  jul     1    14.6    86.8     2.1    -2.0     -.8   931.7      .0
  184 1936  jul     2    16.3    68.8     2.4     1.7    -1.7   928.3      .0
  185 1936  jul     3    15.7    72.0     1.6      .0    -1.6   928.8      .0
  186 1936  jul     4    15.8    78.5     1.2      .0    -1.2   930.1      .0
  187 1936  jul     5    16.5    65.1     1.6    -1.1    -1.1   930.6      .0
  188 1936  jul     6    15.0    80.5     2.0    -1.4     1.4   930.8      .0
  189 1936  jul     7    15.1    80.0     1.2     -.5    -1.2   929.9      .0
  190 1936  jul     8    16.1    70.0     2.1     1.5    -1.5   928.0      .0
  191 1936  jul     9    16.1    69.8     3.2     2.3    -2.3   927.6      .0
  192 1936  jul    10    15.5    84.7     2.2    -1.6     1.6   927.4     6.0
  193 1936  jul    11    14.2    94.0     4.2    -3.0     3.0   929.4      .2
  194 1936  jul    12    15.9    88.3     3.7    -2.6     2.6   929.5      .0
  195 1936  jul    13    16.8    88.0     3.1    -2.9    -1.2   927.6      .4
  196 1936  jul    14    14.6    89.3     3.9     1.5    -3.6   926.1    15.1
  197 1936  jul    15    13.6    93.4     2.0      .8     1.9   928.7     2.1
  198 1936  jul    16    14.6    89.9     2.6    -1.0     2.4   931.8      .0
  199 1936  jul    17    14.6    90.0     2.8    -1.9     1.9   932.7      .0
  200 1936  jul    18    14.7    88.1     3.4    -2.4     2.4   933.5      .0
  201 1936  jul    19    13.9    87.1     3.1    -2.2     2.2   934.5      .0
  202 1936  jul    20    12.3    90.0     2.3    -1.6    -1.6   932.6      .0
  203 1936  jul    21    14.8    76.1     3.6    -2.6    -2.6   929.5      .0
  204 1936  jul    22    16.6    63.4     3.4    -2.4    -2.4   927.5      .0
  205 1936  jul    23    16.8    65.9     1.9      .0    -1.9   926.9      .0
  206 1936  jul    24    16.6    67.2     1.9      .0    -1.9   927.7      .0
