"latitude","longitude","cep","casosAcumulados","casosRecuperados","casosRecuperados.1","casosAtivos","casosAtivos.1","ultimaNotificacao","ultimaNotificacao.1"
-22.9169547,-43.3888811,22720410,13,13,13,0,0,"24/06/2020","24/06/2020"
-22.8113869,-43.3647617,21520030,13,12,12,0,0,"23/07/2020","23/07/2020"
-22.8092989,-43.365214,21520050,13,13,13,0,0,"25/07/2020","25/07/2020"
-22.8934122,-43.5901229,23070200,13,12,12,0,0,"07/07/2020","07/07/2020"
-22.9460375,-43.3415923,22753047,13,12,12,1,1,"25/07/2020","25/07/2020"
-22.8881236,-43.3274978,21311270,13,11,11,2,2,"24/07/2020","24/07/2020"
-22.9168739,-43.2229756,20270002,13,12,12,0,0,"07/07/2020","07/07/2020"
-22.8336891,-43.3450052,21545400,13,11,11,0,0,"15/07/2020","15/07/2020"
-22.8955298,-43.3457594,21320030,13,12,12,0,0,"23/07/2020","23/07/2020"
-22.9461054,-43.1883066,22260040,13,13,13,0,0,"03/07/2020","03/07/2020"
-22.8923557,-43.3454577,21320090,13,12,12,0,0,"19/06/2020","19/06/2020"
-22.9486473,-43.3347041,22750030,13,13,13,0,0,"15/07/2020","15/07/2020"
-22.8454506,-43.338231,21540501,13,11,11,0,0,"22/06/2020","22/06/2020"
-22.8354722,-43.2754639,21020290,13,10,10,1,1,"24/07/2020","24/07/2020"
-22.9193129,-43.2166243,20270213,13,11,11,1,1,"21/07/2020","21/07/2020"
-22.9756115,-43.2358268,22451100,13,13,13,0,0,"06/07/2020","06/07/2020"
-22.8044898,-43.35873,21532290,13,13,13,0,0,"01/07/2020","01/07/2020"
-22.8798189,-43.3595278,21330100,13,12,12,0,0,"19/06/2020","19/06/2020"
-22.8801892,-43.3727435,21330110,13,13,13,0,0,"10/06/2020","10/06/2020"
-22.9229301,-43.3457594,22743311,13,12,12,0,0,"22/06/2020","22/06/2020"
-22.913306,-43.2335592,20271090,13,11,11,2,2,"24/07/2020","24/07/2020"
-22.8809878,-43.3618967,21330540,13,12,12,0,0,"25/06/2020","25/06/2020"
-22.898342,-43.5746785,23070221,13,12,12,0,0,"09/06/2020","09/06/2020"
-22.9197093,-43.2167755,20260142,13,11,11,1,1,"25/07/2020","25/07/2020"
-22.9247514,-43.2318962,20520051,13,11,11,2,2,"26/07/2020","26/07/2020"
-22.8871752,-43.4286608,21765000,13,11,11,0,0,"20/07/2020","20/07/2020"
-22.9190592,-43.6956795,23555024,13,12,12,0,0,"05/07/2020","05/07/2020"
-22.8850218,-43.4271636,21755030,13,12,12,0,0,"19/07/2020","19/07/2020"
-23.0134841,-43.4559643,22790160,13,13,13,0,0,"19/07/2020","19/07/2020"
-22.7967134,-43.1753216,21910080,13,11,11,0,0,"13/06/2020","13/06/2020"
-22.9020123,-43.3098465,20745250,13,10,10,0,0,"30/06/2020","30/06/2020"
-22.8823986,-43.4725533,21820170,13,12,12,0,0,"03/07/2020","03/07/2020"
-22.9356454,-43.1742917,22210065,13,13,13,0,0,"02/07/2020","02/07/2020"
-22.9067385,-43.3033552,20745312,13,13,13,0,0,"14/07/2020","14/07/2020"
-23.0082252,-43.4279387,22793340,13,12,12,0,0,"15/07/2020","15/07/2020"
-23.0105679,-43.4375483,22790790,13,12,12,0,0,"09/07/2020","09/07/2020"
-23.013865,-43.4714018,22790832,13,10,10,2,2,"25/07/2020","25/07/2020"
-23.003284,-43.434149,22783127,13,12,12,0,0,"21/07/2020","21/07/2020"
-22.8959438,-43.2640935,20961210,13,12,12,0,0,"25/06/2020","25/06/2020"
-22.8459032,-43.2978505,21210360,13,12,12,0,0,"08/07/2020","08/07/2020"
-22.899459,-43.2609151,20961050,13,12,12,0,0,"10/07/2020","10/07/2020"
-22.8912789,-43.2739138,20775182,13,11,11,0,0,"30/06/2020","30/06/2020"
-22.9995456,-43.4098056,22793081,13,13,13,0,0,"24/07/2020","24/07/2020"
-22.8558062,-43.479398,21852001,13,13,13,0,0,"10/07/2020","10/07/2020"
-22.930125,-43.1836454,22221090,13,13,13,0,0,"13/07/2020","13/07/2020"
-22.9249001,-43.1778946,22220010,13,13,13,0,0,"01/07/2020","01/07/2020"
-22.9851574,-43.1914382,22081031,13,13,13,0,0,"08/07/2020","08/07/2020"
-22.9326767,-43.6507257,23595060,13,10,10,2,2,"21/07/2020","21/07/2020"
-22.8552053,-43.3053552,21220050,13,11,11,0,0,"02/07/2020","02/07/2020"
-23.0223987,-43.4537949,22795045,13,13,13,0,0,"21/06/2020","21/06/2020"
-22.8135488,-43.2135512,21941150,13,11,11,0,0,"01/07/2020","01/07/2020"
-22.8888367,-43.2850699,20770180,13,12,12,0,0,"02/07/2020","02/07/2020"
-22.8729672,-43.4233818,21735210,13,11,11,0,0,"28/06/2020","28/06/2020"
-22.8047491,-43.185734,21921220,13,12,12,0,0,"07/07/2020","07/07/2020"
-22.894084,-43.2780615,20775030,13,12,12,1,1,"21/07/2020","21/07/2020"
-22.8463056,-43.3098304,21221400,13,12,12,0,0,"22/07/2020","22/07/2020"
-22.9460476,-43.1839711,22250180,13,13,13,0,0,"21/07/2020","21/07/2020"
-22.9150802,-43.2114822,20260030,13,12,12,0,0,"28/06/2020","28/06/2020"
-22.8651563,-43.2755693,21061530,13,13,13,0,0,"21/07/2020","21/07/2020"
-22.8728665,-43.4337725,21735370,13,10,10,1,1,"26/07/2020","26/07/2020"
-22.8997364,-43.285753,20735240,13,13,13,0,0,"08/07/2020","08/07/2020"
-22.8992039,-43.2439894,20960015,13,11,11,2,2,"21/07/2020","21/07/2020"
-22.9169961,-43.1960528,20211290,13,11,11,0,0,"03/07/2020","03/07/2020"
-23.0186714,-43.4673392,22795077,13,11,11,1,1,"25/07/2020","25/07/2020"
-22.8883642,-43.3902375,21741160,13,10,10,0,0,"07/07/2020","07/07/2020"
-22.9366444,-43.189093,22240110,13,11,11,1,1,"25/07/2020","25/07/2020"
-23.0190814,-43.477465,22790540,13,13,13,0,0,"06/07/2020","06/07/2020"
-22.851906,-43.4748857,21853000,14,12,12,0,0,"24/07/2020","24/07/2020"
-22.9798459,-43.1903791,22060040,14,13,13,0,0,"22/06/2020","22/06/2020"
-22.9173119,-43.2181366,20270270,14,13,13,0,0,"05/07/2020","05/07/2020"
-22.9835101,-43.2419825,22451263,14,12,12,0,0,"07/07/2020","07/07/2020"
-22.9127286,-43.2193464,20271000,14,14,14,0,0,"14/07/2020","14/07/2020"
-22.9212836,-43.2187415,20271063,14,13,13,1,1,"18/07/2020","18/07/2020"
-22.9189025,-43.2417222,20541100,14,13,13,0,0,"24/07/2020","24/07/2020"
-22.9650132,-43.218596,22461000,14,12,12,1,1,"06/07/2020","06/07/2020"
-22.8548062,-43.4554505,21725010,14,13,13,0,0,"08/07/2020","08/07/2020"
-22.8638747,-43.5089804,21853050,14,12,12,0,0,"21/07/2020","21/07/2020"
-22.9404573,-43.5802153,23036060,14,10,10,1,1,"15/07/2020","15/07/2020"
-22.928571,-43.3712728,22710045,14,12,12,0,0,"26/06/2020","26/06/2020"
-22.8606229,-43.3245559,21361020,14,7,7,6,6,"26/07/2020","26/07/2020"
-22.9983379,-43.347189,22640105,14,14,14,0,0,"15/07/2020","15/07/2020"
-22.9240002,-43.398827,22713470,14,12,12,0,0,"25/07/2020","25/07/2020"
-23.0227305,-43.4717384,22795445,14,14,14,0,0,"12/07/2020","12/07/2020"
-22.9633826,-43.1732783,22010122,14,13,13,0,0,"02/07/2020","02/07/2020"
-22.9676559,-43.1801718,22021030,14,14,14,0,0,"21/07/2020","21/07/2020"
-22.9650671,-43.1832057,22021050,14,14,14,0,0,"12/07/2020","12/07/2020"
-22.9254704,-43.4271989,22723497,14,12,12,1,1,"21/07/2020","21/07/2020"
-22.9681117,-43.1866233,22031030,14,13,13,0,0,"21/07/2020","21/07/2020"
-22.8901067,-43.6363318,23065620,14,10,10,1,1,"13/07/2020","13/07/2020"
-22.9219473,-43.2349274,20540106,14,14,14,0,0,"13/07/2020","13/07/2020"
-22.9927906,-43.2535864,22610020,14,13,13,0,0,"18/06/2020","18/06/2020"
-22.9767317,-43.1968319,22061030,14,14,14,0,0,"29/06/2020","29/06/2020"
-22.9637531,-43.202177,22471220,14,12,12,0,0,"09/07/2020","09/07/2020"
-22.9989929,-43.3985211,22793095,14,13,13,1,1,"24/07/2020","24/07/2020"
-22.9721573,-43.1881851,22040042,14,12,12,0,0,"21/06/2020","21/06/2020"
-22.9219958,-43.3603888,22735000,14,11,11,1,1,"20/07/2020","20/07/2020"
-22.9150386,-43.6033298,23056000,14,12,12,0,0,"29/06/2020","29/06/2020"
-23.020919,-43.5117088,22790883,14,14,14,0,0,"14/07/2020","14/07/2020"
-22.8918508,-43.2675629,20780370,14,14,14,0,0,"09/07/2020","09/07/2020"
-22.8137692,-43.3587443,21520360,14,13,13,1,1,"21/07/2020","21/07/2020"
-22.8325075,-43.296745,21215250,14,11,11,0,0,"14/07/2020","14/07/2020"
-22.830842,-43.2967229,21215260,14,13,13,0,0,"13/07/2020","13/07/2020"
-22.9859621,-43.3272026,22753000,14,11,11,2,2,"22/07/2020","22/07/2020"
-22.9479186,-43.3539811,22763050,14,13,13,0,0,"07/07/2020","07/07/2020"
-22.9806378,-43.2187415,22430110,14,13,13,1,1,"23/07/2020","23/07/2020"
-22.8923618,-43.4280504,21765100,14,9,9,0,0,"24/06/2020","24/06/2020"
-22.9820875,-43.2011965,22421022,14,11,11,0,0,"17/06/2020","17/06/2020"
-22.8704807,-43.3039591,20750330,14,13,13,1,1,"21/07/2020","21/07/2020"
-22.8820385,-43.2997319,20750000,14,13,13,0,0,"02/07/2020","02/07/2020"
-22.9531329,-43.3831538,22780805,14,14,14,0,0,"05/07/2020","05/07/2020"
-22.9059958,-43.3086389,20745180,14,12,12,0,0,"01/07/2020","01/07/2020"
-22.8184249,-43.2723909,22411010,14,12,12,1,1,"13/07/2020","13/07/2020"
-22.8422803,-43.3032043,21221250,14,14,14,0,0,"17/07/2020","17/07/2020"
-22.9095615,-43.287501,20720295,14,12,12,1,1,"26/07/2020","26/07/2020"
-22.9206024,-43.60676,23059340,14,14,14,0,0,"23/06/2020","23/06/2020"
-22.8995692,-43.2941453,20730110,14,11,11,0,0,"28/06/2020","28/06/2020"
-22.9274322,-43.2009439,20251110,14,13,13,0,0,"17/07/2020","17/07/2020"
-22.9420777,-43.2052808,22241220,14,12,12,0,0,"23/07/2020","23/07/2020"
-22.9077466,-43.565951,23050101,14,8,8,0,0,"10/07/2020","10/07/2020"
-22.9502716,-43.1920241,22270070,14,14,14,0,0,"23/07/2020","23/07/2020"
-22.9926177,-43.3655156,22775003,14,10,10,0,0,"09/07/2020","09/07/2020"
-22.8729356,-43.341234,21351060,14,14,14,0,0,"19/06/2020","19/06/2020"
-22.9393398,-43.1757757,22250120,14,13,13,0,0,"03/07/2020","03/07/2020"
-22.9597946,-43.2022808,22261004,14,13,13,0,0,"01/07/2020","01/07/2020"
-22.8935534,-43.6123326,23060000,14,10,10,0,0,"21/07/2020","21/07/2020"
-22.8460814,-43.3237318,21235110,14,11,11,0,0,"12/07/2020","12/07/2020"
